doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;1829;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1830;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1833;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1836;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1838;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1842;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1844;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1845;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1847;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1848;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1905;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1982;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;1984;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
13;2007;Tukar Faktur;PY-IN-23004493;;2023-01-30;Jefri
