DOCENTRY;DOCNUM;CARDCODE;CARDNAME;U_Kw_No;U_Kw_No
6509;2122003901;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100092
6514;2122003921;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100094
4663;2121002922;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100051
6665;2122004446;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100098
6666;2122004447;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100099
6667;2122004448;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100100
6668;2122004449;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100101
4770;2121003477;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100103
4773;2121003485;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100104
4538;2121002023;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100076
4539;2121002024;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100077
4586;2121002300;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100079
4587;2121002301;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100082
6440;2122003537;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100087
6441;2122003538;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100088
9513;2123006134;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100152
9514;2123006135;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100180
9515;2123006136;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100181
9176;2123004849;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100120
8972;2123003989;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100102
6901;2122005281;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100108
6902;2122005282;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100110
6903;2122005283;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100111
6904;2122005284;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100112
6967;2122005543;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100095
6968;2122005544;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100097
7017;2122005652;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100114
7021;2122005669;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100115
7090;2122005901;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100122
7095;2122005916;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100118
7100;2122005930;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100121
11485;2128004898;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100172
11486;2128004899;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100179
9823;2123007040;RQ0051;PT KHAS PRIMA NUSANTARA;;SS20230100195
4969;2121004179;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100116
5069;2121004715;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100125
5070;2121004716;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100125
8849;2123003248;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100093
8850;2123003249;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100089
8851;2123003250;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100090
    ;2122006234;HT0119;PT. PRIMA ADHITAMA INTERNATIONAL DEVELOPMENT;;SS20230100106
