Item No.;Item Description;Group;Sub Group;Country;Sales Tax Definition;
AID02EUP0001;BUTTERBALL TURKEY WHOLE PREMIUM;A-MEAT;POULTRY;PPNS8_27;27;27-Ternak dan Unggas Hidup, Karkas, Nonkarkas, Jeroan
CFR02FRC0002;FRZ DUCK LIVER WHOLE;C-POULTRY;POULTRY;PPNS8_27;27;27-Ternak dan Unggas Hidup, Karkas, Nonkarkas, Jeroan
CFR02FRC0003;FRZ GOOSE LIVER WHOLE;C-POULTRY;POULTRY;PPNS8_27;27;27-Ternak dan Unggas Hidup, Karkas, Nonkarkas, Jeroan
CFR02FRC0006;FRZ DUCK LIVER WHOLE DEVEINED;C-POULTRY;POULTRY;PPNS8_27;27;27-Ternak dan Unggas Hidup, Karkas, Nonkarkas, Jeroan
DNL02EUP0002;FROZEN DOVERSOLE;D-SEAFOOD;SEAFOOD;PPNS8_18;18;18-Ikan (tidak termasuk Ikan Hias)
EFR02MON0001;BRD FRZ MIX MUSHROOM 1KG;E-GROCERY;TRUFFLE;PPNS8_54;54;54-Sayur-sayuran
EFR02MON0002;BRD FRZ CHANTERELLES/ GIROLLES 1KG;E-GROCERY;TRUFFLE;PPNS8_54;54;54-Sayur-sayuran
EFR03FRC0005;BRD DRIED CEPES EXTRA 225GR;E-GROCERY;TRUFFLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0001;GF FRESH AUTUMN TRUFFLE (BLACK);FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0002;GF FRESH SUMMER TRUFFLE (BLACK);FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0003;GF FRESH WHITE TRUFLLE;FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0004;GF FRESH WINTER BLACK TRUFFLE;FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0005;GF ITALIAN FRZ SUMMER TRUFFLE 500GR;FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0006;ITALIAN FRZ WINTER BLACK TRUFFLE 250GR;FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
FIT01EUP0007;GF ITALIAN FRZ SUMMER TRUFFLE 1KG;FINE GOODS;VEGETABLE;PPNS8_54;54;54-Sayur-sayuran
ONZ02IQF0001;FRZ BLUEBERRY WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0002;FRZ BLACKBERRY WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0003;FRZ BOYSENBERRY WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0004;FRZ CRANBERRY WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0005;FRZ STRAWBERRY WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0006;FRZ BLACKCURRANT WHOLE 1KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0007;FRZ BLUEBERRIES WHOLE 12KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0008;FRZ STRAWBERRIES WHOLE 10KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0009;FRZ BLACKCURRANT WHOLE 12KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0010;FRZ CRANBERRIES WHOLE 12KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0011;FRZ BLACKBERRIES WHOLE 10KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
ONZ02IQF0012;FRZ BOYSENBERRIES WHOLE 10KG;O-OTHERS;LAIN-LAIN;PPNS8_53;53;53-Buah-buahan
