WHSCODE;WHSNAME;Location
B1F01;TARUNA-BWH-KANTOR F1;2
B1F02;TARUNA-BWH-KANTOR F2;2
B1F03;TARUNA-BWH-KANTOR F3;2
B1F04;TARUNA-BWH-KANTOR F4;2
B1F05;TARUNA-BWH-KANTOR C1;2
B1F06;TARUNA-BWH-KANTOR C2;2
B1F07;TARUNA-BWH-KANTOR F7;2
B1F08;TARUNA-BWH-KANTOR F8;2
B1F09;TARUNA-BWH-KANTOR F9;2
B1F10;TARUNA-BWH-KANTOR F10;2
B2P13;TARUNA-PORK F13;2
B2P14;TARUNA-PORK F14;2
B3G01;TARUNA-GDG BARU-G1;2
B3G02;TARUNA-GDG BARU-G2;2
B3G03;TARUNA-GDG BARU-G3;2
B3G04;TARUNA-GDG BARU-G4;2
B3G05;TARUNA-GDG BARU-G5;2
B3AR1;TARUNA-GDG BARU-AR1;2
B3G07;TARUNA-GDG BARU-G7;2
B3G08;TARUNA-GDG BARU-G8;2
B3G09;TARUNA-GDG BARU-G9;2
B3G10;TARUNA-GDG BARU-G10;2
B3G11;TARUNA-GDG BARU-G11;2
B3AR2;TARUNA-GDG BARU-AR2;2
B3G11;TARUNA-GDG BARU-G11;2
B3G12;TARUNA-GDG BARU-G12;2
B3G13;TARUNA-GDG BARU-G13;2
C1C01;CIKUPA-BWN-C1;3
C1C02;CIKUPA-BWN-C2;3
C1C03;CIKUPA-BWN-C3;3
C1C04;CIKUPA-BWN-C4;3
C1C05;CIKUPA-BWN-C5;3
C1C06;CIKUPA-BWN-C6;3
C1C07;CIKUPA-BWN-C7;3
C1C08;CIKUPA-BWN-C8;3
C1C09;CIKUPA-BWN-C9;3
C1C10;CIKUPA-BWN-C10;3
CIARC;CIKUPA-BWN-ARC;3
CIARD;CIKUPA-BWN-ARD;3
C3I01;CIKUPA-IMS 1;3
C3I02;CIKUPA-IMS 2;3
C3I03;CIKUPA-IMS 3;3
C3I04;CIKUPA-IMS 4;3
C3I05;CIKUPA-IMS 5;3
C3I06;CIKUPA-IMS 6;3
C3I07;CIKUPA-IMS 7;3
C4S01;CIKUPA-SARKUL-1;3
C4S02;CIKUPA-SARKUL-2;3
C4S03;CIKUPA-SARKUL-3;3
C4S04;CIKUPA-SARKUL-4;3
C4S05;CIKUPA-SARKUL-5;3
C4S06;CIKUPA-SARKUL-6;3
C4S07;CIKUPA-SARKUL-7;3
C4S08;CIKUPA-SARKUL-8;3
C2B01;CIKUPA-IGU1;3
C2B02;CIKUPA-IGU2;3
C2B03;CIKUPA-IGU3;3
C2B04;CIKUPA-IGU4;3
C2B05;CIKUPA-IGU5;3
C2B06;CIKUPA-IGU6;3
C2B07;CIKUPA-IGU7;3
C2ARB;CIKUPA-IGU ARB;3
